movie,movie_title,year,genreFirst,directorFirst
http://www.wikidata.org/entity/Q4361888,Петя по дороге в Царствие Небесное (фильм),2009,драма,"Досталь, Николай Николаевич"
http://www.wikidata.org/entity/Q1358540,Спираль,2007,фильм-драма,Джоэль Мур
http://www.wikidata.org/entity/Q59566,Видимость гнева,2005,фильм-драма,Майк Байндер
http://www.wikidata.org/entity/Q448146,Лидер,1996,фильм о любви,Джон Дайган
http://www.wikidata.org/entity/Q4179350,"Женитьба (фильм, 1936)",1936,кинокомедия,Эраст Павлович Гарин
http://www.wikidata.org/entity/Q332394,Абсолютные новички,1986,музыкальный фильм,Джульен Темпл
http://www.wikidata.org/entity/Q7134201,Рай: Вера,2013,фильм-драма,"Зайдль, Ульрих"
http://www.wikidata.org/entity/Q595310,Нескончаемая песня,1960,музыкальный фильм,"Кьюкор, Джордж"
http://www.wikidata.org/entity/Q860479,"Нью-Йорк, Нью-Йорк",2008,фильм-драма,Чарли Кауфман
http://www.wikidata.org/entity/Q4101747,В небе «ночные ведьмы»,1981,военный фильм,"Жигуленко, Евгения Андреевна"
